CHR	START	STOP	REFSEQID	GENESYMBOL	STRAND
chr1	40506254	40538321	NM_006367	CAP1	+
chr1	40627040	40706593	NM_012421	RLF	+
chr1	40713572	40717365	NM_001008740	TMCO2	+
chr1	40723721	40759856	NM_005857	ZMPSTE24	+
chr1	40839377	40888998	NM_022733	SMAP2	+
chr1	40840304	40888998	NM_001198978	SMAP2	+
chr1	40859016	40888998	NM_001198979	SMAP2	+
chr1	40862471	40888998	NM_001198980	SMAP2	+
chr1	40916336	40929390	NM_023070	ZFP69B	+
chr1	40943301	40962015	NM_198494	ZFP69	+
chr1	40974432	40982214	NM_022774	EXO5	+
chr1	40997232	41013841	NM_152373	ZNF684	+
chr1	41157241	41237275	NM_001142587	NFYC	+
chr1	41157241	41237275	NM_001142588	NFYC	+
chr1	41157241	41237275	NM_001142589	NFYC	+
chr1	41157241	41237275	NM_014223	NFYC	+
chr1	41157679	41237275	NM_001142590	NFYC	+
chr1	41220026	41220118	NR_029846	MIR30E	+
chr1	41222955	41223044	NR_029833	MIR30C1	+
chr1	41249683	41306124	NM_004700	KCNQ4	+
chr1	41249683	41306124	NM_172163	KCNQ4	+
chr1	41445006	41478235	NM_001905	CTPS1	+
chr1	41480261	41509562	NR_037868	SLFNL1-AS1	+
chr1	42619091	42621495	NM_007102	GUCA2B	+
chr1	42846467	42889900	NM_173642	RIMKLA	+
chr1	42922172	42926086	NM_001077447	PPCS	+
chr1	42922172	42926086	NM_024664	PPCS	+
chr1	43000559	43120335	NM_001080850	CCDC30	+
chr1	43124047	43142429	NM_006347	PPIH	+
chr1	43148065	43168020	NM_004559	YBX1	+
chr1	43232915	43241413	NM_024097	C1orf50	+
chr1	43232915	43241413	NR_040733	C1orf50	+
chr1	43253660	43263901	NM_001242750	LOC100129924	+
chr1	43282775	43310660	NM_001017922	ERMAP	+
chr1	43291248	43310660	NM_018538	ERMAP	+
chr1	43312243	43318146	NM_001242739	ZNF691	+
chr1	43312243	43318146	NM_015911	ZNF691	+
chr1	43424719	43449029	NR_033967	SLC2A1-AS1	+
chr1	43613593	43622067	NM_001101376	FAM183A	+
chr1	43638000	43676549	NM_001167965	WDR65	+
chr1	43638000	43676549	NM_152498	WDR65	+
chr1	43638000	43720029	NM_001195831	WDR65	+
chr1	43735664	43739673	NM_144626	TMEM125	+
chr1	43766565	43788781	NM_001253357	TIE1	+
chr1	43766565	43788781	NM_005424	TIE1	+
chr1	43803474	43820135	NM_005373	MPL	+
chr1	43824625	43828873	NM_001255	CDC20	+
chr1	43855555	43919918	NM_015284	SZT2	+
chr1	43996546	44089343	NM_002840	PTPRF	+
chr1	43996546	44089343	NM_130440	PTPRF	+
chr1	44115796	44171189	NM_014663	KDM4A	+
chr1	44173203	44396837	NM_006279	ST3GAL3	+
chr1	44173203	44396837	NM_174963	ST3GAL3	+
chr1	44173203	44396837	NM_174964	ST3GAL3	+
chr1	44173203	44396837	NM_174965	ST3GAL3	+
chr1	44173203	44396837	NM_174966	ST3GAL3	+
chr1	44173203	44396837	NM_174967	ST3GAL3	+
chr1	44173203	44396837	NM_174968	ST3GAL3	+
chr1	44173203	44396837	NM_174969	ST3GAL3	+
chr1	44173203	44396837	NM_174970	ST3GAL3	+
chr1	44173203	44396837	NM_174971	ST3GAL3	+
chr1	44398991	44402912	NM_001136215	ARTN	+
chr1	44398991	44402912	NM_057090	ARTN	+
chr1	44398991	44402912	NM_057091	ARTN	+
chr1	44412477	44433694	NM_014652	IPO13	+
chr1	44435652	44439043	NM_001039589	DPH2	+
chr1	44435652	44439043	NM_001384	DPH2	+
chr1	44440601	44443972	NM_001039457	ATP6V0B	+
chr1	44440601	44443972	NM_004047	ATP6V0B	+
chr1	44444873	44456843	NM_003780	B4GALT2	+
chr1	44445607	44456843	NM_030587	B4GALT2	+
chr1	44446176	44456843	NM_001005417	B4GALT2	+
chr1	44457279	44462198	NM_152499	CCDC24	+
chr1	44584521	44600809	NM_173484	KLF17	+
chr1	44679124	44686351	NM_001034023	DMAP1	+
chr1	44679124	44686351	NM_001034024	DMAP1	+
chr1	44679124	44686351	NM_019100	DMAP1	+
chr1	44870959	45117396	NM_018150	RNF220	+
chr1	45140393	45191263	NM_001145636	C1orf228	+
chr1	45205489	45233438	NM_006845	KIF2C	+
chr1	45241245	45244412	NM_001012	RPS8	+
chr1	45241536	45241610	NR_000015	SNORD55	+
chr1	45242163	45242261	NR_000024	SNORD46	+
chr1	45243513	45243584	NR_001456	SNORD38A	+
chr1	45244061	45244130	NR_001457	SNORD38B	+
chr1	45266035	45271667	NM_004073	PLK3	+
chr1	45274153	45279801	NM_001136537	BTBD19	+
chr1	45477804	45481341	NM_000374	UROD	+
chr1	45477804	45481341	NR_036510	UROD	+
chr1	45769581	45771291	NR_024270	LOC400752	+
chr1	45792544	45794346	NM_032756	HPDL	+
chr1	45805341	45809650	NM_025077	TOE1	+
chr1	45965855	45976739	NM_015506	MMACHC	+
chr1	46016454	46035723	NM_001202413	AKR1A1	+
chr1	46016454	46035723	NM_001202414	AKR1A1	+
chr1	46016454	46035723	NM_006066	AKR1A1	+
chr1	46016454	46035723	NM_153326	AKR1A1	+
chr1	46049659	46084578	NM_001195193	NASP	+
chr1	46049659	46084578	NM_002482	NASP	+
chr1	46049659	46084578	NM_152298	NASP	+
chr1	46153846	46160108	NM_016486	TMEM69	+
chr1	46269284	46501796	NM_015112	MAST2	+
chr1	46640748	46651634	NM_005727	TSPAN1	+
chr1	46669005	46686928	NM_001013615	LURAP1	+
chr1	46713366	46744145	NM_001142548	RAD54L	+
chr1	46713366	46744145	NM_003579	RAD54L	+
chr1	46769379	46782447	NM_006004	UQCRH	+
chr1	46805848	46830824	NM_199044	NSUN4	+
chr1	46805848	46830824	NR_045789	NSUN4	+
chr1	46805848	46830824	NR_045790	NSUN4	+
chr1	46805848	46830824	NR_045791	NSUN4	+
chr1	46806849	46830824	NM_001256127	NSUN4	+
chr1	46806849	46830824	NM_001256128	NSUN4	+
chr1	46859938	46879520	NM_001441	FAAH	+
chr1	46899498	46911374	NR_045483	LOC729041	+
chr1	46972667	46979886	NM_147192	DMBX1	+
chr1	46972667	46979886	NM_172225	DMBX1	+
chr1	47004367	47035927	NR_038403	MKNK1-AS1	+
chr1	47137496	47139256	NM_001145474	TEX38	+
chr1	47139707	47157769	NR_038827	EFCAB14-AS1	+
chr1	47139707	47157769	NR_038828	EFCAB14-AS1	+
chr1	47264669	47285021	NM_000779	CYP4B1	+
chr1	47264669	47285021	NM_001099772	CYP4B1	+
chr1	47489239	47516423	NM_178033	CYP4X1	+
chr1	47533159	47583992	NM_178134	CYP4Z1	+
chr1	47603106	47614526	NM_001010969	CYP4A22	+
chr1	47799468	47824547	NR_046395	CMPK1	+
chr1	47799468	47844511	NM_001136140	CMPK1	+
chr1	47799468	47844511	NM_016308	CMPK1	+
chr1	47799468	47844511	NR_046394	CMPK1	+
chr1	47881743	47883724	NM_012186	FOXE3	+
chr1	47901688	47906363	NM_004474	FOXD2	+
chr1	48688356	48714316	NM_001011547	SLC5A9	+
chr1	48688356	48714316	NM_001135181	SLC5A9	+
chr1	50513685	50667540	NM_001144777	ELAVL4	+
chr1	50569581	50667540	NM_001144776	ELAVL4	+
chr1	50571963	50667540	NM_001144775	ELAVL4	+
chr1	50574593	50667540	NM_001144774	ELAVL4	+
chr1	50574593	50667540	NM_021952	ELAVL4	+
chr1	51434366	51440306	NM_001262	CDKN2C	+
chr1	51435641	51440309	NM_078626	CDKN2C	+
chr1	51567905	51613754	NM_001136508	C1orf185	+
chr1	51701944	51739119	NM_014372	RNF11	+
chr1	52082545	52254891	NM_024586	OSBPL9	+
chr1	52082545	52254891	NM_148906	OSBPL9	+
chr1	52082545	52254891	NM_148908	OSBPL9	+
chr1	52082545	52254891	NM_148909	OSBPL9	+
chr1	52082545	52254891	NR_036662	OSBPL9	+
chr1	52195485	52254891	NM_148904	OSBPL9	+
chr1	52195485	52254891	NM_148905	OSBPL9	+
chr1	52195485	52254891	NM_148907	OSBPL9	+
chr1	52521856	52556388	NM_001136497	BTF3L4	+
chr1	52521856	52556388	NM_001243767	BTF3L4	+
chr1	52521856	52556388	NM_152265	BTF3L4	+
chr1	52608045	52812358	NM_004799	ZFYVE9	+
chr1	52608045	52812358	NM_007324	ZFYVE9	+
chr1	52870218	52883992	NM_032864	PRPF38A	+
chr1	53068042	53074723	NM_015696	GPX7	+
chr1	53099065	53122737	NM_001042693	FAM159A	+
chr1	53192130	53293013	NM_024646	ZYG11B	+
chr1	53308182	53360247	NM_001004339	ZYG11A	+
chr1	53392900	53459904	NM_001007098	SCP2	+
chr1	53392900	53517289	NM_001193599	SCP2	+
chr1	53392900	53517289	NM_001193600	SCP2	+
chr1	53392900	53517289	NM_001193617	SCP2	+
chr1	53392900	53517289	NM_002979	SCP2	+
chr1	53480609	53517289	NM_001007099	SCP2	+
chr1	53480609	53517289	NM_001007100	SCP2	+
chr1	53480609	53517289	NM_001007250	SCP2	+
chr1	53527723	53551174	NM_001199080	PODN	+
chr1	53527723	53551174	NM_001199082	PODN	+
chr1	53527723	53551174	NM_153703	PODN	+
chr1	53527884	53551174	NM_001199081	PODN	+
chr1	53662100	53679869	NM_000098	CPT2	+
chr1	53704281	53708455	NR_038953	LOC100507564	+
chr1	53925071	53933158	NM_033067	DMRTB1	+
chr1	54359860	54376759	NM_000792	DIO1	+
chr1	54359860	54376759	NM_001039715	DIO1	+
chr1	54359860	54376759	NM_001039716	DIO1	+
chr1	54359860	54376759	NM_213593	DIO1	+
chr1	54411998	54433841	NM_001256409	LRRC42	+
chr1	54411998	54433841	NM_052940	LRRC42	+
chr1	54519273	54565416	NM_153035	TCEANC2	+
chr1	54519751	54519827	NR_039942	MIR4781	+
chr1	54665839	54684056	NM_016491	MRPL37	+
chr1	55013806	55076005	NM_147161	ACOT11	+
chr1	55013806	55100417	NM_015547	ACOT11	+
chr1	55107426	55175939	NM_001039464	MROH7	+
chr1	55107426	55175939	NR_026782	MROH7	+
chr1	55107426	55208328	NR_037639	MROH7-TTC4	+
chr1	55107426	55208328	NR_037640	MROH7-TTC4	+
chr1	55107426	55208328	NR_037641	MROH7-TTC4	+
chr1	55181494	55208328	NM_004623	TTC4	+
chr1	55271735	55307937	NM_001110533	C1orf177	+
chr1	55271735	55307937	NM_152607	C1orf177	+
chr1	55446464	55457966	NM_182532	TMEM61	+
chr1	55464616	55474465	NM_057176	BSND	+
chr1	55505148	55530526	NM_174936	PCSK9	+
chr1	55681080	55683128	NR_038320	LOC100507634	+
chr1	55691313	55691396	NR_039618	MIR4422	+
chr1	57110989	57181008	NM_006252	PRKAA2	+
chr1	57320442	57383894	NM_000562	C8A	+
chr1	59250822	59365384	NR_034014	LOC100131060	+
chr1	59250822	59365384	NR_034015	LOC100131060	+
chr1	59762624	60228402	NM_001113411	FGGY	+
chr1	59762624	60228402	NM_018291	FGGY	+
chr1	59775749	60228402	NM_001244714	FGGY	+
chr1	60280532	60342050	NM_015888	HOOK1	+
chr1	61542945	61928460	NM_001145511	NFIA	+
chr1	61547533	61928460	NM_001145512	NFIA	+
chr1	61547979	61928460	NM_001134673	NFIA	+
chr1	61547979	61928460	NM_005595	NFIA	+
chr1	62208148	62629591	NM_176877	INADL	+
chr1	62660473	62678001	NM_001164835	L1TD1	+
chr1	62660473	62678001	NM_019079	L1TD1	+
chr1	62901974	62917475	NM_001017415	USP1	+
chr1	62901974	62917475	NM_001017416	USP1	+
chr1	62902382	62917475	NM_003368	USP1	+
chr1	63063186	63071180	NM_014495	ANGPTL3	+
chr1	63249776	63330941	NM_032852	ATG4C	+
chr1	63249776	63330941	NM_178221	ATG4C	+
chr1	63788729	63790797	NM_012183	FOXD3	+
chr1	63833260	63904233	NM_013339	ALG6	+
chr1	63989012	64038364	NM_032437	EFCAB7	+
chr1	64014650	64016307	NR_002771	DLEU2L	+
chr1	64058946	64125916	NM_002633	PGM1	+
chr1	64059479	64125916	NM_001172819	PGM1	+
chr1	64088886	64125916	NM_001172818	PGM1	+
chr1	64239689	64609052	NM_001083592	ROR1	+
chr1	64239689	64647179	NM_005012	ROR1	+
chr1	64669489	64710027	NM_152489	UBE2U	+
chr1	64936475	65158741	NM_020925	CACHD1	+
chr1	65045529	65045604	NR_039957	MIR4794	+
chr1	65210777	65298914	NM_018211	RAVER2	+
chr1	65613231	65697828	NM_203464	AK4	+
chr1	65613512	65697828	NM_001005353	AK4	+
chr1	65613849	65697828	NM_013410	AK4	+
chr1	65730376	65881552	NM_001256865	DNAJC6	+
chr1	65730376	65881552	NM_014787	DNAJC6	+
chr1	65775217	65881552	NM_001256864	DNAJC6	+
chr1	65886130	65893692	NM_001198683	LEPROT	+
chr1	65886130	65901690	NM_017526	LEPROT	+
chr1	65886334	66096095	NM_001003680	LEPR	+
chr1	65886334	66101111	NM_001003679	LEPR	+
chr1	65886334	66103176	NM_002303	LEPR	+
chr1	65886398	65901690	NM_001198681	LEPROT	+
chr1	65991371	66091917	NM_001198688	LEPR	+
chr1	65991371	66096095	NM_001198687	LEPR	+
chr1	65991371	66101111	NM_001198689	LEPR	+
chr1	66258192	66840262	NM_001037341	PDE4B	+
chr1	66258855	66840262	NM_002600	PDE4B	+
chr1	66458389	66840262	NM_001037340	PDE4B	+
chr1	66797792	66840262	NM_001037339	PDE4B	+
chr1	66999824	67210768	NM_032291	SGIP1	+
chr1	67094122	67094200	NR_036060	MIR3117	+
chr1	67218139	67244730	NM_152665	TCTEX1D1	+
chr1	67390577	67454302	NM_001077700	MIER1	+
chr1	67390577	67454302	NM_001077702	MIER1	+
chr1	67390577	67454302	NM_001077703	MIER1	+
chr1	67390577	67454302	NM_001146110	MIER1	+
chr1	67390577	67454302	NM_001146111	MIER1	+
chr1	67390577	67454302	NM_001146112	MIER1	+
chr1	67390577	67454302	NM_001146113	MIER1	+
chr1	67390577	67454302	NM_020948	MIER1	+
chr1	67395925	67454302	NM_001077701	MIER1	+
chr1	67395925	67454302	NM_001077704	MIER1	+
chr1	67632168	67725650	NM_144701	IL23R	+
chr1	67773046	67862583	NM_001559	IL12RB2	+
chr1	68150859	68154021	NM_001199741	GADD45A	+
chr1	68150859	68154021	NM_001199742	GADD45A	+
chr1	68150859	68154021	NM_001924	GADD45A	+
chr1	68297970	68668670	NR_040077	GNG12-AS1	+
chr1	70225857	70589171	NM_020794	LRRC7	+
chr1	70385004	70386000	NR_023916	PIN1P1	+
chr1	70671364	70717701	NM_001190987	SRSF11	+
chr1	70671364	70717701	NM_004768	SRSF11	+
chr1	70820492	70833705	NM_001031693	HHLA3	+
chr1	70820492	70833705	NM_001036645	HHLA3	+
chr1	70820492	70833705	NM_001036646	HHLA3	+
chr1	70820492	70833705	NR_027404	HHLA3	+
chr1	70876900	70905534	NM_001190463	CTH	+
chr1	70876900	70905534	NM_001902	CTH	+
chr1	70876900	70905534	NM_153742	CTH	+
chr1	71512188	71532865	NR_038420	ZRANB2-AS1	+
chr1	71547006	71703406	NR_046217	ZRANB2-AS2	+
chr1	74663895	74674148	NM_001199328	FPGT	+
chr1	74663895	74674148	NM_001199329	FPGT	+
chr1	74663895	74674148	NM_003838	FPGT	+
chr1	74663895	74930609	NM_001199327	FPGT-TNNI3K	+
chr1	74663895	75010116	NM_001112808	FPGT-TNNI3K	+
chr1	74701070	75010116	NM_015978	TNNI3K	+
chr1	75198835	75232360	NM_001162916	TYW3	+
chr1	75198839	75232360	NM_138467	TYW3	+
chr1	75198861	75232360	NR_027962	TYW3	+
chr1	75594118	75627218	NM_001001933	LHX8	+
chr1	75600566	75627218	NM_001256114	LHX8	+
chr1	76190042	76229355	NM_000016	ACADM	+
chr1	76190042	76229355	NM_001127328	ACADM	+
chr1	76251885	76260764	NM_004582	RABGGTB	+
chr1	76252756	76252834	NR_003042	SNORD45C	+
chr1	76253573	76253657	NR_002749	SNORD45A	+
chr1	76255161	76255232	NR_002748	SNORD45B	+
chr1	76262555	76378923	NM_002440	MSH4	+
chr1	76540388	77042892	NM_001160011	ST6GALNAC3	+
chr1	76540388	77096669	NM_152996	ST6GALNAC3	+
chr1	77333185	77529737	NM_030965	ST6GALNAC5	+
chr1	77747661	78025654	NM_174858	AK5	+
chr1	77748286	78025654	NM_012093	AK5	+
chr1	78245308	78345225	NM_198549	FAM73A	+
chr1	78354199	78409578	NM_001172309	NEXN	+
chr1	78354199	78409578	NM_144573	NEXN	+
chr1	78470635	78482995	NM_007034	DNAJB4	+
chr1	78511588	78603112	NM_017655	GIPC2	+
chr1	78695282	78835147	NR_027310	MGC27382	+
chr1	78956727	79006386	NM_000959	PTGFR	+
chr1	78956727	79006386	NM_001039585	PTGFR	+
chr1	79086087	79111830	NM_006820	IFI44L	+
chr1	79115476	79129763	NM_006417	IFI44	+
chr1	82266081	82458107	NM_012302	LPHN2	+
chr1	84543744	84670979	NM_207578	PRKACB	+
chr1	84543744	84704181	NM_002731	PRKACB	+
chr1	84609951	84704181	NM_182948	PRKACB	+
chr1	84630064	84704181	NM_001242857	PRKACB	+
chr1	84630064	84704181	NM_001242858	PRKACB	+
chr1	84630064	84704181	NM_001242859	PRKACB	+
chr1	84630648	84704181	NM_001242860	PRKACB	+
chr1	84630648	84704181	NM_001242861	PRKACB	+
chr1	84647342	84704181	NM_001242862	PRKACB	+
chr1	84764048	84816481	NM_001010971	SAMD13	+
chr1	84767288	84816481	NM_001134663	SAMD13	+
chr1	84768333	84816481	NM_001134664	SAMD13	+
chr1	84864214	84880691	NM_021233	DNASE2B	+
chr1	84874033	84880691	NM_058248	DNASE2B	+
chr1	84944919	84964033	NM_025065	RPF1	+
chr1	85527992	85598821	NM_145172	WDR63	+
chr1	85599476	85599556	NR_039619	MIR4423	+
chr1	85742040	85743771	NR_045484	LOC646626	+
chr1	86046443	86049648	NM_001554	CYR61	+
chr1	86889768	86922240	NM_006536	CLCA2	+
chr1	86934525	86965974	NM_001285	CLCA1	+
chr1	87012758	87046432	NM_012128	CLCA4	+
chr1	87012758	87046432	NR_024602	CLCA4	+
chr1	87099958	87121059	NR_024604	CLCA3P	+
chr1	87170252	87213867	NM_001206651	SH3GLB1	+
chr1	87170252	87213867	NM_001206652	SH3GLB1	+
chr1	87170252	87213867	NM_001206653	SH3GLB1	+
chr1	87170252	87213867	NM_016009	SH3GLB1	+
chr1	87380334	87564125	NM_001134492	HS2ST1	+
chr1	87380334	87575681	NM_012262	HS2ST1	+
chr1	87595447	87602352	NR_026988	LOC339524	+
chr1	87595447	87634886	NR_026989	LOC339524	+
chr1	87597608	87602352	NR_026985	LOC339524	+
chr1	87597608	87602352	NR_026986	LOC339524	+
chr1	87597608	87602352	NR_026987	LOC339524	+
chr1	87794150	87814607	NM_006769	LMO4	+
chr1	89149921	89301938	NM_006256	PKN2	+
chr1	89829435	89853719	NM_198460	GBP6	+
chr1	89873237	89890493	NR_003133	GBP1P1	+
chr1	89990396	90063420	NM_001134476	LRRC8B	+
chr1	90024271	90063420	NM_015350	LRRC8B	+
chr1	90098643	90185094	NM_032270	LRRC8C	+
chr1	90286572	90401989	NM_001134479	LRRC8D	+
chr1	90287479	90401989	NM_018103	LRRC8D	+
chr1	90460677	90472000	NM_182975	ZNF326	+
chr1	90460677	90494094	NM_182976	ZNF326	+
chr1	91966403	91991321	NM_001134419	CDC7	+
chr1	91966403	91991321	NM_003503	CDC7	+
chr1	91966664	91991321	NM_001134420	CDC7	+
chr1	92414927	92479985	NM_001242805	BRDT	+
chr1	92414927	92479985	NM_001242806	BRDT	+
chr1	92414927	92479985	NM_001242807	BRDT	+
chr1	92414927	92479985	NM_001242808	BRDT	+
chr1	92414927	92479985	NM_001242810	BRDT	+
chr1	92414927	92479985	NM_207189	BRDT	+
chr1	92417708	92479985	NM_001726	BRDT	+
chr1	92495532	92529093	NM_173567	EPHX4	+
chr1	92545861	92613401	NM_183242	BTBD8	+
chr1	92632608	92650280	NM_015237	KIAA1107	+
chr1	92683572	92711367	NM_001012425	C1orf146	+
chr1	92764521	92853732	NM_024813	RPAP2	+
chr1	93297593	93307481	NM_000969	RPL5	+
chr1	93302845	93302940	NR_000006	SNORD21	+
chr1	93306275	93306408	NR_002444	SNORA66	+
chr1	93544791	93604638	NM_001164391	MTF2	+
chr1	93544791	93604638	NM_001164392	MTF2	+
chr1	93544791	93604638	NM_001164393	MTF2	+
chr1	93544791	93604638	NM_007358	MTF2	+
chr1	93646280	93744287	NM_206886	CCDC18	+
chr1	93811477	93828148	NM_001938	DR1	+
chr1	93913687	94020218	NM_001024948	FNBP1L	+
chr1	93913687	94020218	NM_001164473	FNBP1L	+
chr1	93913687	94020218	NM_017737	FNBP1L	+
chr1	94057524	94065587	NR_034091	LOC100129046	+
chr1	94312387	94312467	NR_030621	MIR760	+
chr1	94883932	94944260	NM_001122674	ABCD3	+
chr1	94883932	94984219	NM_002858	ABCD3	+
chr1	95285897	95360803	NM_001114106	SLC44A3	+
chr1	95286099	95360803	NM_152369	SLC44A3	+
chr1	95393583	95428826	NR_033998	LOC729970	+
chr1	95558072	95663161	NM_001199679	TMEM56	+
chr1	95582893	95663161	NM_152487	TMEM56	+
chr1	95583478	95710509	NM_001199691	TMEM56-RWDD3	+
chr1	95699710	95712781	NM_001128142	RWDD3	+
chr1	95699710	95712781	NM_001199682	RWDD3	+
chr1	95699710	95712781	NM_015485	RWDD3	+
chr1	95940292	95944912	NR_033966	FLJ31662	+
chr1	97187174	97280605	NM_021190	PTBP2	+
chr1	98676266	98738214	NR_046088	LOC729987	+
chr1	99127235	99226056	NM_015976	SNX7	+
chr1	99127235	99226056	NM_152238	SNX7	+
chr1	99127235	99226056	NR_033716	SNX7	+
chr1	99469831	99614408	NR_033940	LOC100129620	+
chr1	99729847	99775138	NM_001166252	LPPR4	+
chr1	99729847	99775138	NM_014839	LPPR4	+
chr1	100111430	100160097	NM_017734	PALMD	+
chr1	100154610	100178513	NR_037516	MIR548AA1	+
chr1	100315639	100389579	NM_000642	AGL	+
chr1	100316044	100389579	NM_000028	AGL	+
chr1	100316044	100389579	NM_000643	AGL	+
chr1	100316044	100389579	NM_000644	AGL	+
chr1	100316530	100389579	NM_000646	AGL	+
chr1	100326765	100389579	NM_000645	AGL	+
chr1	100435539	100489006	NM_012243	SLC35A3	+
chr1	100503788	100548929	NM_033055	HIAT1	+
chr1	100598705	100616054	NM_019083	TRMT13	+
chr1	100731713	100758325	NM_001130841	RTCA	+
chr1	100731713	100758325	NM_003729	RTCA	+
chr1	100746796	100746864	NR_030279	MIR553	+
chr1	100818022	100950926	NM_033313	CDC14A	+
chr1	100818022	100965021	NM_033312	CDC14A	+
chr1	100818022	100985833	NM_003672	CDC14A	+
chr1	101003727	101007583	NM_022049	GPR88	+
chr1	101185195	101204601	NM_001078	VCAM1	+
chr1	101185195	101204601	NM_001199834	VCAM1	+
chr1	101185195	101204601	NM_080682	VCAM1	+
chr1	101361631	101447311	NM_001144884	SLC30A7	+
chr1	101361633	101447311	NM_133496	SLC30A7	+
chr1	101702304	101707076	NM_001400	S1PR1	+
chr1	102337566	102360299	NR_033424	DNAJA1P5	+
chr1	104068577	104097859	NM_017619	RNPC3	+
chr1	104097321	104122149	NM_020978	AMY2B	+
chr1	104112025	104114008	NR_024438	ACTG1P4	+
chr1	104159998	104168400	NM_000699	AMY2A	+
chr1	104198140	104207173	NM_001008221	AMY1A	+
chr1	104198301	104207173	NM_004038	AMY1A	+
chr1	104198302	104207172	NM_001008219	AMY1C	+
chr1	104198324	104207172	NM_001008218	AMY1B	+
chr1	104292278	104301311	NM_001008221	AMY1A	+
chr1	104292439	104301311	NM_004038	AMY1A	+
chr1	104292440	104301310	NM_001008219	AMY1C	+
chr1	104292462	104301310	NM_001008218	AMY1B	+
chr1	104615644	104619693	NR_033990	LOC100129138	+
chr1	107599266	107601916	NM_018137	PRMT6	+
chr1	107682628	108024475	NM_001113226	NTNG1	+
chr1	107682628	108024475	NM_001113228	NTNG1	+
chr1	107682744	108024475	NM_014917	NTNG1	+
chr1	108992903	109013260	NM_001143987	NBPF6	+
chr1	108992903	109013260	NM_001143988	NBPF6	+
chr1	109102970	109181949	NM_001010883	FAM102B	+
chr1	109234931	109244422	NM_018061	PRPF38B	+
chr1	109234934	109244422	NR_037185	PRPF38B	+
chr1	109255555	109285367	NM_001144937	FNDC7	+
chr1	109289284	109352148	NM_007269	STXBP3	+
chr1	109399838	109401146	NR_034168	SPATA42	+
chr1	109419602	109473044	NM_013296	GPSM2	+
chr1	109633402	109639554	NM_020141	TMEM167B	+
chr1	109642814	109643234	NR_003023	SCARNA2	+
chr1	109656584	109749403	NM_020775	KIAA1324	+
chr1	109756514	109760113	NR_034072	SARS	+
chr1	109756514	109780804	NM_006513	SARS	+
chr1	109792640	109818378	NM_001408	CELSR2	+
chr1	110009099	110024764	NM_001040709	SYPL2	+
chr1	110026560	110035420	NM_153340	ATXN7L2	+
chr1	110036657	110043063	NM_001134402	CYB561D1	+
chr1	110036700	110043063	NM_001134400	CYB561D1	+
chr1	110036700	110043063	NM_001134403	CYB561D1	+
chr1	110036700	110043063	NM_001134404	CYB561D1	+
chr1	110036700	110043063	NM_182580	CYB561D1	+
chr1	110082493	110088455	NM_031936	GPR61	+
chr1	110091185	110138454	NM_006496	GNAI3	+
chr1	110141514	110141589	NR_029583	MIR197	+
chr1	110162434	110174677	NM_139156	AMPD2	+
chr1	110163202	110174677	NM_004037	AMPD2	+
chr1	110168048	110174677	NM_203404	AMPD2	+
chr1	110198697	110204331	NM_000850	GSTM4	+
chr1	110198697	110204331	NR_024538	GSTM4	+
chr1	110198697	110208123	NM_147148	GSTM4	+
chr1	110210643	110217908	NM_000848	GSTM2	+
chr1	110210643	110226619	NM_001142368	GSTM2	+
chr1	110230417	110236367	NM_000561	GSTM1	+
chr1	110230417	110236367	NM_146421	GSTM1	+
chr1	110254863	110260890	NM_000851	GSTM5	+
chr1	110453232	110467824	NM_172210	CSF1	+
chr1	110453232	110469365	NM_172212	CSF1	+
chr1	110453232	110473616	NM_000757	CSF1	+
chr1	110453232	110473616	NM_172211	CSF1	+
chr1	110527386	110566364	NM_001242673	AHCYL1	+
chr1	110527386	110566364	NM_006621	AHCYL1	+
chr1	110543548	110566364	NM_001242674	AHCYL1	+
chr1	110546569	110566364	NM_001242675	AHCYL1	+
chr1	110546569	110566364	NM_001242676	AHCYL1	+
chr1	110577222	110597263	NM_033088	STRIP1	+
chr1	110655061	110656569	NM_203412	UBL4B	+
chr1	110693131	110744823	NM_001010898	SLC6A17	+
chr1	110753335	110776674	NM_001039574	KCNC4	+
chr1	110753335	110776674	NM_004978	KCNC4	+
chr1	110753335	110776674	NR_036437	KCNC4	+
chr1	110881944	110889303	NM_001201545	RBM15	+
chr1	110881944	110889303	NM_022768	RBM15	+
chr1	110993787	110999976	NM_032414	PROK1	+
chr1	111023387	111033891	NR_003599	CYMP	+
chr1	111413820	111442558	NM_001040033	CD53	+
chr1	111415721	111442558	NM_000560	CD53	+
chr1	111682248	111727724	NM_001007794	CEPT1	+
chr1	111682832	111727724	NM_006090	CEPT1	+
chr1	111770280	111786062	NM_001025197	CHI3L2	+
chr1	111770280	111786062	NM_004000	CHI3L2	+
chr1	111772332	111786062	NM_001025199	CHI3L2	+
chr1	111823145	111828730	NR_003928	CHIAP2	+
chr1	111833473	111863188	NM_001040623	CHIA	+
chr1	111833473	111863188	NM_021797	CHIA	+
chr1	111833473	111863188	NM_201653	CHIA	+
chr1	111889194	111895639	NM_181643	PIFO	+
chr1	111991742	112004525	NM_001688	ATP5F1	+
chr1	112016603	112021134	NM_174896	C1orf162	+
chr1	112162404	112256101	NM_001010935	RAP1A	+
chr1	112162404	112256101	NM_002884	RAP1A	+
chr1	112282462	112290420	NR_038951	LOC100506343	+
